DEBUG | 2017-09-14 11:27:10,378 | ModelerAgent.java | 98 | Working Directory: C:\Users\Luca\Desktop\workspaces\uTestCompatible153\TU4UME
DEBUG | 2017-09-14 11:27:10,432 | ModelerAgent.java | 302 | Model 'GoogleCloudPlatformServices' created.
DEBUG | 2017-09-14 11:27:10,450 | ModelerAgent.java | 302 | Class 'GoogleCloudPlatformServices::GoogleAppEngine' created.
DEBUG | 2017-09-14 11:27:10,463 | ModelerAgent.java | 302 | Region 'GoogleCloudPlatformServices::GoogleAppEngine::GoogleAppEngine_statemachine::GoogleAppEngine_statemachine_region' created.
DEBUG | 2017-09-14 11:27:10,466 | ModelerAgent.java | 302 | PseudoState kind: INITIAL '$s' created.
DEBUG | 2017-09-14 11:27:10,467 | ModelerAgent.java | 302 | PseudoState kind: INITIAL '$s' created.
DEBUG | 2017-09-14 11:27:10,472 | ModelerAgent.java | 302 | State 'GoogleCloudPlatformServices::GoogleAppEngine::GoogleAppEngine_statemachine::GoogleAppEngine_statemachine_region::UncertaintyAffectedState' created.
DEBUG | 2017-09-14 11:27:10,480 | ModelerAgent.java | 302 | Transition '$s' from '$s' to '$s' created.
DEBUG | 2017-09-14 11:27:10,482 | ModelerAgent.java | 302 | Transition '$s' from '$s' to '$s' created.
DEBUG | 2017-09-14 11:27:10,483 | ModelerAgent.java | 302 | Class 'GoogleCloudPlatformServices::GoogleBigQueryService' created.
DEBUG | 2017-09-14 11:27:10,483 | ModelerAgent.java | 302 | Region 'GoogleCloudPlatformServices::GoogleBigQueryService::GoogleBigQueryService_statemachine::GoogleBigQueryService_statemachine_region' created.
DEBUG | 2017-09-14 11:27:10,484 | ModelerAgent.java | 302 | PseudoState kind: INITIAL '$s' created.
DEBUG | 2017-09-14 11:27:10,484 | ModelerAgent.java | 302 | PseudoState kind: INITIAL '$s' created.
DEBUG | 2017-09-14 11:27:10,484 | ModelerAgent.java | 302 | State 'GoogleCloudPlatformServices::GoogleBigQueryService::GoogleBigQueryService_statemachine::GoogleBigQueryService_statemachine_region::UncertaintyAffectedState' created.
DEBUG | 2017-09-14 11:27:10,485 | ModelerAgent.java | 302 | Transition '$s' from '$s' to '$s' created.
DEBUG | 2017-09-14 11:27:10,485 | ModelerAgent.java | 302 | Transition '$s' from '$s' to '$s' created.
DEBUG | 2017-09-14 11:27:10,486 | ModelerAgent.java | 302 | Class 'GoogleCloudPlatformServices::GoogleCloudBigtable' created.
DEBUG | 2017-09-14 11:27:10,487 | ModelerAgent.java | 302 | Region 'GoogleCloudPlatformServices::GoogleCloudBigtable::GoogleCloudBigtable_statemachine::GoogleCloudBigtable_statemachine_region' created.
DEBUG | 2017-09-14 11:27:10,487 | ModelerAgent.java | 302 | PseudoState kind: INITIAL '$s' created.
